,fitness
0,3213.492536216645
1,3606.8670693592835
2,3155.0954106818517
3,3018.4122369348725
4,4149.212154235982
5,3261.134604661663
6,3486.799537491086
7,3324.6631812928135
8,3264.0409559285195
9,3179.8271178563873
0,4429.168711511304
1,3179.100525013635
2,4222.5281132421
3,4105.248918588026
4,4412.900621121953
5,3461.318666273789
6,2818.2281442272674
7,3186.698183631451
8,3376.8679608719394
9,4728.180838349255
10,2965.7464418974705
11,2743.3957626548327
12,2938.848768269452
13,2952.717299627825
14,2921.4918560026017
15,2954.356236146224
16,2954.382806531628
17,3030.698900922346
18,2973.138200579607
19,3000.918356538683
20,2777.948391658461
21,2848.443987183324
22,2841.6086949824185
23,2781.330203621661
24,2802.510872599367
25,2818.6573276707377
26,2783.039693574259
27,2793.4854348212903
28,2819.842791549698
29,2760.470594249436
30,2640.276685460376
31,2667.9922252425417
32,2664.2994504127023
33,2670.34528474042
34,2698.61209248107
35,2644.264569188759
36,2689.5682637825253
37,2674.665634608671
38,2673.699037247551
39,2652.912877853905
40,2311.801287966548
41,2314.9667274030576
42,2321.362977183305
43,3752.677971514412
44,2322.686222471867
45,2332.823183031048
46,2316.593034534667
47,2313.271400089252
48,2327.31814858348
49,2330.229154730873
50,2353.408579783641
51,2366.05123064128
52,2365.672782662642
53,2339.1332888272195
54,2337.3489149640004
55,2336.844327714206
56,2341.07864875466
57,2361.002948275038
58,2329.1772502451054
59,2386.423917078147
