,fitness
0,-186.7309086055003
1,-186.73090867880788
2,-186.73081810612308
3,-186.72202028864692
4,-186.7308875722898
5,-186.73090881859898
6,-186.7276823138122
7,-186.73088383325842
8,-186.73084036103472
9,-186.73051061895995
