,fitness
0,-186.73087758419544
1,-186.73090881151995
2,-186.73090505559207
3,-186.73090411675955
4,-186.73088510787449
5,-186.73090702121317
6,-186.73089539784178
7,-186.73084557847199
8,-186.73088445171848
9,-186.7308667914247

