,fitness
0,-535.9500070949988
1,-749.8702895779559
2,-572.2476911721944
3,-653.9183843860002
4,-760.418812776603
5,-894.5788999195804
6,-904.1281139369471
7,-565.9977762852209
8,-558.5207297200436
9,-755.785151575335
