,ParticleSwarmOptimization,WhaleOptimizationAlgorithm,CuckooSearch,GreyWolfOptimizer,FruitFly,SquirrelSearchAlgorithm,KrillHerd,WaterWaveOptimization,ArtificialBeeColony
0,900.0001202484683,900.0001018479574,900.0,900.0000002760987,1146.825781186504,900.0,900.0000000075512,900.0010655744901,900.0000000091851
1,900.0000406887484,900.0008614046031,900.0,900.00000007321,1146.8258673387554,900.0,900.0000000330966,900.1285122574862,900.0000000000839
2,900.0000552505198,900.0000052840923,900.0,900.0000000093447,1146.8257979615594,900.0,900.0000000237857,900.2164651778791,900.0000000000194
3,900.0001310420954,900.0000072682587,900.0,900.0000008577639,1146.8257191633093,900.0,900.0000000036681,900.0000196774045,900.0000000000093
4,900.0000045871716,900.0005081168673,900.0,900.0000000250249,1146.8257868040537,900.0,900.0000000038243,900.9737193481724,900.0000000003483
5,900.0003533901537,900.000136117587,900.0,900.0000004048688,1146.8257524552691,900.0,900.0000000047653,900.0077383180031,900.0000000012986
6,900.0001570997359,900.000582825027,900.0,900.0000003824448,1146.825804103957,900.0,900.0000000083618,900.2177005901527,900.0000000000607
7,900.0000225227109,900.000091143851,900.0,900.0000001471396,1146.825789602235,900.0,900.0000000106407,900.0096809491793,900.0000000000234
8,900.0000035818376,900.0000259641413,900.0,900.0000003371371,1146.8258243387256,900.0,900.0000000119212,900.0000833183492,900.0000000000084
9,900.0000300328702,900.0000314848571,900.0,900.0000009073821,1146.8257071420844,900.0,900.0000000043149,900.0229987092679,900.0000000000224
10,801.0188381975393,900.0002402183588,801.0188381975393,801.0188381975393,801.0188381975393,801.0188381975393,801.0188381975393,900.0002402183588,
11,801.0188381975393,900.0003114638187,801.0188381975393,801.0188381975393,801.0188381975393,801.0188381975393,801.0188381975393,900.0003114638187,
12,801.0188381975393,900.0000983272226,801.0188381975393,801.0188381975393,801.0188381975393,801.0188381975393,801.0188381975393,900.0000983272226,
13,800.0000000049444,900.0006306363736,800.0000000049444,800.0000000049444,800.0000000049444,800.0000000049444,800.0000000049444,900.0006306363736,
14,800.0000000155958,900.0007267373262,800.0000000155958,800.0000000155958,800.0000000155958,800.0000000155958,800.0000000155958,900.0007267373262,
15,800.0000000029627,900.0003651337051,800.0000000029627,800.0000000029627,800.0000000029627,800.0000000029627,800.0000000029627,900.0003651337051,
16,801.0188381975393,900.0005578589488,801.0188381975393,801.0188381975393,801.0188381975393,801.0188381975393,801.0188381975393,900.0005578589488,
17,800.000000000333,900.000114822929,800.000000000333,800.000000000333,800.000000000333,800.000000000333,800.000000000333,900.000114822929,
18,801.0188381975393,900.0005486018377,801.0188381975393,801.0188381975393,801.0188381975393,801.0188381975393,801.0188381975393,900.0005486018377,
19,801.0188381975393,900.0000203978907,801.0188381975393,801.0188381975393,801.0188381975393,801.0188381975393,801.0188381975393,900.0000203978907,
