,ParticleSwarmOptimization,WhaleOptimizationAlgorithm,CuckooSearch,GreyWolfOptimizer,FruitFly,SquirrelSearchAlgorithm,KrillHerd,WaterWaveOptimization,ArtificialBeeColony
0,2805.49100856913,2656.6301849724578,2628.224670072838,2637.630103127978,4233.112718595465,2667.8615283369054,2634.555232355608,2672.563108206184,2310.177662124911
1,2680.010463255704,2711.43026241227,2621.024462014617,2612.524703075711,4265.155211841568,2720.4002053200284,2667.0662387740485,2666.734772316424,2300.1152665006744
2,2742.6615798660364,2675.191500371624,2616.5374547315582,2621.037985696221,4302.087542541456,2679.4352267005943,2648.570175765544,2675.3500301764566,2300.0000000684067
3,2662.8395551039266,2642.37314800032,2608.9855385766914,2637.577474858913,4292.413199134657,2640.5438399447085,2680.0170856288278,2632.237781544778,2300.0000007000763
4,2694.772549949152,2684.028491978873,2619.4610878253843,2615.460829764776,4251.806696977651,2717.6399167228456,2658.745657655681,2675.191414267248,2300.000000644214
5,2724.259428379869,2630.5633670153693,2623.827086908001,2611.6952317173705,4316.909349845337,2619.010547345669,2659.503920733949,2669.0586931327334,2300.00000057506
6,2749.820910705863,2692.684386548228,2612.4699772106,2614.4130547031336,4316.232545665401,2625.946876736955,2653.14678702537,2662.9010135163976,2300.000000000342
7,2741.657499875439,2674.105420347333,2618.6021853359525,2634.2839011423853,4284.959236524709,2635.9320037659686,2645.790085891461,2650.012401946699,2300.000000026484
8,2662.781878156361,2650.4659686155837,2626.177020199116,2607.8296031422155,4285.535593039397,2638.4816443461605,2688.8696042580505,2675.5058006853324,2300.00000000024
9,2661.2209969935648,2642.7845417651315,2622.6676357816573,2634.934519564032,4300.286586168353,2645.5955024579785,2690.517096288117,2655.672028025613,2305.6199909512984
10,2311.801287966548,2640.276685460376,2311.801287966548,2311.801287966548,2311.801287966548,2311.801287966548,2311.801287966548,2640.276685460376,2305.394149924295
11,2314.9667274030576,2667.9922252425417,2314.9667274030576,2314.9667274030576,2314.9667274030576,2314.9667274030576,2314.9667274030576,2667.9922252425417,2304.4470617025618
12,2321.362977183305,2664.2994504127023,2321.362977183305,2321.362977183305,2321.362977183305,2321.362977183305,2321.362977183305,2664.2994504127023,2309.3329579173787
13,3752.677971514412,2670.34528474042,3752.677971514412,3752.677971514412,3752.677971514412,3752.677971514412,3752.677971514412,2670.34528474042,2310.3663951584663
14,2322.686222471867,2698.61209248107,2322.686222471867,2322.686222471867,2322.686222471867,2322.686222471867,2322.686222471867,2698.61209248107,2312.003999716829
15,2332.823183031048,2644.264569188759,2332.823183031048,2332.823183031048,2332.823183031048,2332.823183031048,2332.823183031048,2644.264569188759,2305.1285701874654
16,2316.593034534667,2689.5682637825253,2316.593034534667,2316.593034534667,2316.593034534667,2316.593034534667,2316.593034534667,2689.5682637825253,2300.5544617547166
17,2313.271400089252,2674.665634608671,2313.271400089252,2313.271400089252,2313.271400089252,2313.271400089252,2313.271400089252,2674.665634608671,2305.0496796811008
18,2327.31814858348,2673.699037247551,2327.31814858348,2327.31814858348,2327.31814858348,2327.31814858348,2327.31814858348,2673.699037247551,2310.1923116772323
19,2330.229154730873,2652.912877853905,2330.229154730873,2330.229154730873,2330.229154730873,2330.229154730873,2330.229154730873,2652.912877853905,2301.8994081766778
20,2353.408579783641,2311.801287966548,2353.408579783641,2353.408579783641,2353.408579783641,2353.408579783641,2353.408579783641,2311.801287966548,
21,2366.05123064128,2314.9667274030576,2366.05123064128,2366.05123064128,2366.05123064128,2366.05123064128,2366.05123064128,2314.9667274030576,
22,2365.672782662642,2321.362977183305,2365.672782662642,2365.672782662642,2365.672782662642,2365.672782662642,2365.672782662642,2321.362977183305,
23,2339.1332888272195,3752.677971514412,2339.1332888272195,2339.1332888272195,2339.1332888272195,2339.1332888272195,2339.1332888272195,3752.677971514412,
24,2337.3489149640004,2322.686222471867,2337.3489149640004,2337.3489149640004,2337.3489149640004,2337.3489149640004,2337.3489149640004,2322.686222471867,
25,2336.844327714206,2332.823183031048,2336.844327714206,2336.844327714206,2336.844327714206,2336.844327714206,2336.844327714206,2332.823183031048,
26,2341.07864875466,2316.593034534667,2341.07864875466,2341.07864875466,2341.07864875466,2341.07864875466,2341.07864875466,2316.593034534667,
27,2361.002948275038,2313.271400089252,2361.002948275038,2361.002948275038,2361.002948275038,2361.002948275038,2361.002948275038,2313.271400089252,
28,2329.1772502451054,2327.31814858348,2329.1772502451054,2329.1772502451054,2329.1772502451054,2329.1772502451054,2329.1772502451054,2327.31814858348,
29,2386.423917078147,2330.229154730873,2386.423917078147,2386.423917078147,2386.423917078147,2386.423917078147,2386.423917078147,2330.229154730873,
