,ParticleSwarmOptimization,WhaleOptimizationAlgorithm,CuckooSearch,GreyWolfOptimizer,FruitFly,SquirrelSearchAlgorithm,KrillHerd,WaterWaveOptimization,ArtificialBeeColony
0,2306.7266251263104,2316.752536935329,2226.8820521489406,2321.583284455025,5243.142488214884,2324.108232176198,2301.667918757434,2451.28785324938,2200.0000000210207
1,2307.915751649062,2353.357549383641,2300.571272408138,2316.7279551045503,5195.862735755874,2326.989679037974,2300.123322316048,2480.6278508463733,2200.0
2,2309.247473961845,2323.104793714679,2302.457164068222,2301.611286702504,5172.084824896636,2320.096540352738,2301.5170533057785,2468.5889012469365,2200.1197701360365
3,2308.8166259892378,2328.79727548971,2300.706745432495,2323.300404280083,5184.324835435922,2342.5176088782773,2302.182627320441,2619.131862711873,2200.0000000000014
4,2309.1035702605227,2308.862710491967,2226.647714465488,2323.400299919382,5231.366965015203,2326.352908794041,2305.061453260715,2595.959082732411,2200.0000000042805
5,2309.8108153529665,2330.7396583075592,2227.072914234352,2301.052124847916,5180.618280627072,2312.55412269401,2313.075859436396,2414.2485861275454,2200.022111587962
6,3789.975877971942,2321.0078722138774,2300.221994398719,2333.216595589834,5253.726965934189,2246.7275556445875,2301.2751209733915,2536.633377681484,2200.000000011501
7,2310.035910433788,2290.6795263082,2300.5026410877967,2314.691888239607,5200.222267039611,2326.9650402713137,2305.1184330569386,2295.885741609476,2200.000003445072
8,2307.8375394186564,2325.9156972570104,2300.407792474785,2305.087451528977,5146.263386777668,2318.000306854372,2300.435692957988,2478.7318230169044,2200.000000166947
9,2306.77677126474,2233.352266575327,2300.5019063808577,2303.3886270659377,5266.745447408484,2317.351704327592,2304.863085614493,2538.643394517176,2200.0000001455287
10,2353.408579783641,2311.801287966548,2353.408579783641,2353.408579783641,2353.408579783641,2353.408579783641,2353.408579783641,2311.801287966548,2305.394149924295
11,2366.05123064128,2314.9667274030576,2366.05123064128,2366.05123064128,2366.05123064128,2366.05123064128,2366.05123064128,2314.9667274030576,2304.4470617025618
12,2365.672782662642,2321.362977183305,2365.672782662642,2365.672782662642,2365.672782662642,2365.672782662642,2365.672782662642,2321.362977183305,2309.3329579173787
13,2339.1332888272195,3752.677971514412,2339.1332888272195,2339.1332888272195,2339.1332888272195,2339.1332888272195,2339.1332888272195,3752.677971514412,2310.3663951584663
14,2337.3489149640004,2322.686222471867,2337.3489149640004,2337.3489149640004,2337.3489149640004,2337.3489149640004,2337.3489149640004,2322.686222471867,2312.003999716829
15,2336.844327714206,2332.823183031048,2336.844327714206,2336.844327714206,2336.844327714206,2336.844327714206,2336.844327714206,2332.823183031048,2305.1285701874654
16,2341.07864875466,2316.593034534667,2341.07864875466,2341.07864875466,2341.07864875466,2341.07864875466,2341.07864875466,2316.593034534667,2300.5544617547166
17,2361.002948275038,2313.271400089252,2361.002948275038,2361.002948275038,2361.002948275038,2361.002948275038,2361.002948275038,2313.271400089252,2305.0496796811008
18,2329.1772502451054,2327.31814858348,2329.1772502451054,2329.1772502451054,2329.1772502451054,2329.1772502451054,2329.1772502451054,2327.31814858348,2310.1923116772323
19,2386.423917078147,2330.229154730873,2386.423917078147,2386.423917078147,2386.423917078147,2386.423917078147,2386.423917078147,2330.229154730873,2301.8994081766778
