,ParticleSwarmOptimization,WhaleOptimizationAlgorithm,CuckooSearch,GreyWolfOptimizer,FruitFly,KrillHerd,WaterWaveOptimization
0,0.0037540372754603,0.0,6.431545740426259e-09,0.0073960904051089,1.490974010920354e-11,0.0079986323657635,0.4613605064462907
1,0.00823989342161,0.0,6.432632204678157e-13,0.0,1.3880785409980943e-11,0.0006709745092107,0.0665849047020612
2,0.0074256456905734,0.0,4.678942966962474e-06,0.0113117468143941,1.455935372263184e-11,0.0021364908894979,0.1060256247830402
3,0.0074744755433227,0.0887426291864783,1.1248907616501215e-07,0.0073961673584054,1.4948486892762958e-11,0.0010379744357157,9.846923011991304e-05
4,0.0108232059504638,0.0,6.512277384018715e-10,0.0073977080946435,1.505806590529346e-11,0.0043288252945861,0.473346717573881
5,0.0002170429753856,0.0,8.168383636153465e-09,0.0073960852089981,1.416389228126036e-11,0.0002491122456355,0.1257721410033881
6,0.0002807012818989,0.007396054782963,0.0017538035158333,0.0295877415196454,1.3887002658918846e-11,0.0020044008703881,0.2053541068888345
7,0.0001556483153293,0.0,7.971401316808625e-14,0.0,1.4005352433343887e-11,0.0002305674418504,0.1894501644487095
8,0.0080433019288856,0.0198712288309399,3.737088977495695e-06,0.0295857064866397,1.5061618618972258e-11,0.0015573923812922,0.24403085474358
9,0.0008797743719368,0.0,1.4765966227514582e-14,0.0098722934071967,1.4628409594763525e-11,0.0079627297659119,0.1774970125314381
