,fitness
0,3231.348800106528
1,3257.474023591154
2,3251.3342797192936
3,3287.488127726076
4,3319.96769555075
5,3332.101701655389
6,3295.4518015111826
7,3419.2424947429067
8,3272.5384213559337
9,3339.390644253985
0,3307.29175921977
1,3556.303236854769
2,3396.1877755520327
3,3284.9288970945045
4,3373.808066918707
5,3525.09169388854
6,3420.2304915672958
7,3555.158752278486
8,3488.2070328142827
9,3274.452928041716
10,3587.151754033908
11,3736.17985422619
12,3412.053184467738
13,3587.074552297528
14,3402.951522547141
15,3209.5807893457268
16,3221.2409319756466
17,3736.1800071970574
18,3412.795984576359
19,3736.2002459371306
20,3204.569321365236
21,3190.7139271586634
22,3173.2791566461788
23,3187.995127176312
24,3138.0253161003207
25,3129.781306397219
26,3097.5505969738647
27,3210.131324587092
28,3106.5988615218707
29,3177.032652517232
30,4429.168711511304
31,3179.100525013635
32,4222.5281132421
33,4105.248918588026
34,4412.900621121953
35,3461.318666273789
36,2818.2281442272674
37,3186.698183631451
38,3376.8679608719394
39,4728.180838349255
40,2965.7464418974705
41,2743.3957626548327
42,2938.848768269452
43,2952.717299627825
44,2921.4918560026017
45,2954.356236146224
46,2954.382806531628
47,3030.698900922346
48,2973.138200579607
49,3000.918356538683
50,2777.948391658461
51,2848.443987183324
52,2841.6086949824185
53,2781.330203621661
54,2802.510872599367
55,2818.6573276707377
56,2783.039693574259
57,2793.4854348212903
58,2819.842791549698
59,2760.470594249436
60,2640.276685460376
61,2667.9922252425417
62,2664.2994504127023
63,2670.34528474042
64,2698.61209248107
65,2644.264569188759
66,2689.5682637825253
67,2674.665634608671
68,2673.699037247551
69,2652.912877853905
70,2311.801287966548
71,2314.9667274030576
72,2321.362977183305
73,3752.677971514412
74,2322.686222471867
75,2332.823183031048
76,2316.593034534667
77,2313.271400089252
78,2327.31814858348
79,2330.229154730873
80,2353.408579783641
81,2366.05123064128
82,2365.672782662642
83,2339.1332888272195
84,2337.3489149640004
85,2336.844327714206
86,2341.07864875466
87,2361.002948275038
88,2329.1772502451054
89,2386.423917078147
