,fitness
0,600.0077010836976
1,600.005341435068
2,600.0079854310962
3,600.017387011129
4,600.0076431503488
5,600.0003187501154
6,600.0167295231857
7,600.0075513279901
8,600.0126936662971
9,600.016451281279
0,500.00000000002376
1,500.0000000203148
2,500.0000000011155
3,500.9949929846762
4,500.9950543849377
5,500.0000000009424
6,500.00000000139744
7,500.0000000006321
8,500.0000000833734
9,500.0000000001271
10,400.0000392247649
11,400.0000017917368
12,400.0000174601008
13,400.0000053151448
14,400.00001049942233
15,400.0000027699094
16,400.0000010739736
17,400.0033413773947
18,400.00000024218025
19,400.000000625645
20,300.0000000633489
21,300.00000000384455
22,300.00000000000455
23,300.00000000003297
24,300.00000000790345
25,300.0000000026148
26,300.0000000085871
27,300.0000000201184
28,300.00000007755267
29,300.0000000046438
30,200.1180118876259
31,200.00370562547545
32,200.0183548489292
33,200.0189562870511
34,200.1111561600345
35,200.03683993544087
36,200.04934040159995
37,200.08820729466416
38,200.0789041529121
39,200.10012716999148
