,fitness
0,4229362.4111323785
1,8376703.730280639
2,543169.4075826348
3,4396812.824727261
4,1241037.059376928
5,2625157.2896198723
6,199871.8364927815
7,14657008.197428452
8,7406206.574960176
9,3489537.4703268227
0,5538703.074927734
1,20736202.964525856
2,1984606.488485072
3,69850.57740679724
4,9280659.300100116
5,2005662.7591789127
6,1514830.5510462322
7,1462445.267666653
8,967733.0453752892
9,1076445.568777949
10,3307.29175921977
11,3556.303236854769
12,3396.1877755520327
13,3284.9288970945045
14,3373.808066918707
15,3525.09169388854
16,3420.230491567296
17,3555.158752278486
18,3488.2070328142827
19,3274.452928041716
20,3587.151754033908
21,3736.17985422619
22,3412.053184467738
23,3587.074552297528
24,3402.951522547141
25,3209.5807893457268
26,3221.2409319756466
27,3736.1800071970574
28,3412.795984576359
29,3736.2002459371306
30,3204.569321365236
31,3190.7139271586634
32,3173.2791566461788
33,3187.995127176312
34,3138.0253161003207
35,3129.781306397219
36,3097.5505969738647
37,3210.131324587092
38,3106.5988615218707
39,3177.032652517232
40,4429.168711511304
41,3179.100525013635
42,4222.5281132421
43,4105.248918588026
44,4412.900621121953
45,3461.318666273789
46,2818.2281442272674
47,3186.698183631451
48,3376.8679608719394
49,4728.180838349255
50,2965.7464418974705
51,2743.3957626548327
52,2938.848768269452
53,2952.717299627825
54,2921.4918560026017
55,2954.356236146224
56,2954.382806531628
57,3030.698900922346
58,2973.138200579607
59,3000.918356538683
60,2777.948391658461
61,2848.443987183324
62,2841.6086949824185
63,2781.330203621661
64,2802.510872599367
65,2818.6573276707377
66,2783.039693574259
67,2793.4854348212903
68,2819.842791549698
69,2760.470594249436
70,2640.276685460376
71,2667.9922252425417
72,2664.2994504127023
73,2670.34528474042
74,2698.61209248107
75,2644.264569188759
76,2689.5682637825253
77,2674.665634608671
78,2673.699037247551
79,2652.912877853905
80,2311.801287966548
81,2314.9667274030576
82,2321.362977183305
83,3752.677971514412
84,2322.686222471867
85,2332.823183031048
86,2316.593034534667
87,2313.271400089252
88,2327.31814858348
89,2330.229154730873
90,2353.408579783641
91,2366.05123064128
92,2365.672782662642
93,2339.1332888272195
94,2337.3489149640004
95,2336.844327714206
96,2341.07864875466
97,2361.002948275038
98,2329.1772502451054
99,2386.423917078147
