,fitness
0,4.101534000401516e-71
1,3.9745591607365685e-69
2,2.5250505299995336e-69
3,5.3027469192504624e-67
4,3.692485399309526e-70
5,5.992481511358644e-74
6,4.5498741053121204e-68
7,6.367804483571496e-64
8,5.726222225034444e-73
9,3.3496342634640917e-74
0,6.648018118198323e-73
1,0.3296899624460841
2,1.9238112241459933e-69
3,4.4535954951005933e-69
4,2.7219585847625164e-53
5,2.861147078460773e-64
6,4.328169194602986e-72
7,1.2636904259336026e-72
8,6.120519422751694e-69
9,0.3296899612341037
10,1.0357902116217809e-37
11,8.258717868104871e-38
12,0.3296899647398697
13,1.0394554361067253e-33
14,7.09880888073279e-37
15,1.056606283541959e-40
16,1.0160333114101756e-32
17,2.9945418181449785e-39
18,2.2635356491059766e-38
19,7.041566336275774e-36
20,8.37001320255199e-37
21,2.1570968626753343e-36
22,8.939740081865641e-38
23,1.2684542723354649e-33
24,1.3414020968085943e-34
25,2.0342991191488788e-35
26,0.3296899617059416
27,5.3256777490289264e-39
28,0.3296899612117913
29,1.221851209345409e-38
30,2.8383326484353697e-08
31,9.244227363561398e-07
32,1.5447170598198745e-07
33,1.7097689432018313e-07
34,2.8279747797411497e-07
35,3.62785492788334e-08
36,6.437822458744624e-08
37,1.0130669878172725e-07
38,5.490365081665612e-07
39,5.052599060966e-08
