,0,1,2,3,4,5,6,7,8,9
10,2.173415947215318e-09,2.0811883327809255e-09,2.704427071176241e-09,2.1507010616872435e-09,2.4523392205821892e-09,2.6014342346947217e-09,2.0645605225411146e-09,2.093397344360426e-09,2.3975076368643045e-09,2.514587316149175e-09
11,1.9386474092719652e-09,1.7828786780249573e-09,2.252792119517011e-09,1.8162588655279421e-09,2.056316728005214e-09,2.1616867185159094e-09,1.6950231773726898e-09,1.7193372281454344e-09,2.085774664095652e-09,2.0957939828036842e-09
12,1.6833245908287608e-09,1.5916255535763923e-09,1.9070047208025187e-09,1.5618790705218544e-09,1.7166207344487816e-09,1.8790545786018242e-09,1.5637067196649923e-09,1.5356086957574178e-09,1.7934779217299024e-09,1.9135562578931342e-09
13,1.4879681375923326e-09,1.351302847396596e-09,1.7343002034486688e-09,1.3422001843288456e-09,1.4726161956524209e-09,1.6658803780877918e-09,1.4072421006261493e-09,1.3738302717669626e-09,1.6245481071486267e-09,1.6325431007047086e-09
14,1.3298347978363267e-09,1.1616604900233085e-09,1.5462879310312871e-09,1.2198074772484802e-09,1.3755894756606324e-09,1.461880450026598e-09,1.2087502665458771e-09,1.286625972429789e-09,1.4678647186627813e-09,1.4470936116062205e-09
15,1.143297789774067e-09,1.0341166256644385e-09,1.3672125653840794e-09,1.0652063675564705e-09,1.1704581193150432e-09,1.2420861561501795e-09,1.0680505924121064e-09,1.1436219748972576e-09,1.2859858178337902e-09,1.2811579019889052e-09
16,1.031828678055291e-09,9.394266475837298e-10,1.193295018353524e-09,9.693196800775183e-10,1.0418088614017051e-09,1.0792367555190197e-09,9.674956946703617e-10,1.0599994770821297e-09,1.1368481711571121e-09,1.1842852254417835e-09
17,9.32259824892867e-10,8.377416538252191e-10,1.035552421591035e-09,8.579248422790897e-10,9.385483501489489e-10,9.818316160092877e-10,8.636671933182072e-10,9.902979547504742e-10,9.95543480986072e-10,1.037367858280902e-09
18,8.317712074656924e-10,7.675237112536593e-10,8.988796373898822e-10,7.736387086509922e-10,8.447169630443341e-10,9.168526493574802e-10,8.124079187155075e-10,9.051443483620858e-10,8.925834515949305e-10,9.220194052694808e-10
19,7.538650259597546e-10,6.775560668081937e-10,8.144352414696243e-10,6.99206081922199e-10,7.494778131444946e-10,8.756348424121541e-10,7.792411160778556e-10,8.365459436276979e-10,7.986548089533585e-10,8.403376883237001e-10
20,6.755290216098331e-10,6.072051750294349e-10,7.178345140523845e-10,6.43660069687968e-10,6.923742135178657e-10,8.057041700482159e-10,7.09181435798456e-10,7.603079277274105e-10,7.122578637996924e-10,7.794357381740724e-10
21,6.079621805987756e-10,5.561629490280495e-10,6.805654928498939e-10,5.866087060546477e-10,6.251375528343317e-10,7.303542215453263e-10,6.540138430821685e-10,6.917118544613743e-10,6.51670939433302e-10,6.94964807923526e-10
