,Cuckoo Search,Fruit Fly,Whale Optimization Algorithm,Water Wave Optimization,Krill Herd
0,0.3252162018009494,5.878690925165131e-08,0.3044116794124235,0.2565548726618569,0.24830843131643904
1,0.27775779439912196,2.8813934072058345e-08,0.25102526641756445,0.23942995734419514,0.21242146641307022
2,0.2658325921698452,1.7874874808088138e-08,0.21202580067489124,0.21712453186149147,0.18825970917007406
3,0.2486050854698639,1.1660971716009882e-08,0.1763725201330073,0.2066803944317012,0.18825970917007406
4,0.22645691378504207,8.574712634379367e-09,0.13367362916638198,0.19125453426134945,0.18146059227361752
5,0.22640254289156858,6.528391643945142e-09,0.1263789769411418,0.19125453426134945,0.180597250458556
6,0.20555592125348174,4.984770013427564e-09,0.10790922587493439,0.19125453426134945,0.16688756698669935
7,0.19631467327452407,3.976453955001347e-09,0.08659724223852863,0.17649219039223418,0.14982239621566823
8,0.19631467327452407,3.25066275008723e-09,0.0660335087745475,0.16684505307927416,0.14603796803655938
9,0.18809916889883102,2.7380315792413512e-09,0.05984308140277876,0.16684505307927416,0.11434743606736161
10,0.1793796114480159,2.323355868805166e-09,0.055876702662586056,0.16684505307927416,0.08083437882294942
11,0.1645036708735601,1.9604509571280458e-09,0.052002980914381436,0.16684505307927416,0.060118661254041264
12,0.13489841241100464,1.7145858843825578e-09,0.04777294953706291,0.16684505307927416,0.0505261411566003
13,0.12193285157572667,1.5092431526753104e-09,0.04635489744869257,0.16684505307927416,0.03865005000213947
14,0.12193285157572667,1.3505395191071302e-09,0.04180539351461786,0.16684505307927416,0.03654921776079315
15,0.12193285157572667,1.1801193910976338e-09,0.03061518034090207,0.16452882961582477,0.03117419979532547
16,0.1169303607632004,1.0603544209342176e-09,0.030320130403356026,0.16202850031139965,0.023261276547074432
17,0.1098729840885198,9.470735196082103e-10,0.028262910128487827,0.16202850031139965,0.020255292236082478
18,0.07682052379470843,8.565538001104045e-10,0.02530148465621096,0.16202850031139965,0.020255292236082478
19,0.07609491776277019,7.824954628699032e-10,0.02293061790334287,0.13510940273250022,0.017258114979751157
20,0.07439829710705934,7.103490129445333e-10,0.020956991788773922,0.13510940273250022,0.011588824536263928
