,fitness
0,14169499425.682999
1,14304228049.38501
2,14183826655.003517
3,12181865891.743427
4,14111062468.213211
5,13804500418.828815
6,14209799465.821255
7,14236037393.102695
8,14207434823.189735
9,13599158610.40747
0,1810.669180432946
1,1909.031672813354
2,1839.2298563219813
3,1825.518145236984
4,1764.022440977811
5,1770.5117084386995
6,1809.0245517067688
7,1802.8378521404975
8,1785.01037549455
9,1823.084077183508
10,2118.104989860636
11,1798.9894130684722
12,2119.278340202681
13,1907.4767883759705
14,1692.2838337588369
15,2143.7452048148407
16,1902.1383390228773
17,1888.0552185636016
18,2027.8392135586869
19,2030.1974308205608
20,15853.155396039065
21,18687.88338065713
22,8288.551185061002
23,8029.401727364843
24,23228.03875711038
25,21582.119916387663
26,6243.255527330188
27,21418.43289108827
28,11075.278384223608
29,13806.056524061749
30,2208.914217820816
31,1747.7324954012663
32,1956.860517127258
33,2717.902039872596
34,2607.235854334066
35,1534.7564198956115
36,5435.883804045945
37,6552.329826009291
38,5696.065532718262
39,2862.5214537811617
40,12088.318250600152
41,10598.718620642485
42,27361.64744717995
43,34582.901938344665
44,8038.565019454524
45,2978.335656229337
46,5800.033135122212
47,14457.60969475116
48,22362.85556011372
49,28083.365066287093
50,3898652.8427298046
51,3308295.360976766
52,2765274.6690108413
53,2416754.5862613125
54,2836912.0561977467
55,12546342.072541049
56,6550359.669987899
57,381755.3684164745
58,35360.51753676312
59,355636.9746540355
60,1324.9697537692728
61,1218.3254017025658
62,1236.1844085953687
63,1279.2188642661158
64,1247.2660419277931
65,1160.5119851030051
66,1210.4379784435878
67,1201.4145082728123
68,1193.7207868748844
69,1266.2571850072477
