,fitness
0,400.0000668544987
1,400.01605832236515
2,400.03797037640953
3,400.000631072016
4,400.0009582003922
5,400.00042255450427
6,400.02321407011107
7,400.00479306334563
8,400.01054493940813
9,400.0039293255944
0,300.0000000633489
1,300.00000000384455
2,300.00000000000455
3,300.00000000003297
4,300.00000000790345
5,300.0000000026148
6,300.0000000085871
7,300.0000000201184
8,300.00000007755267
9,300.0000000046438
10,200.1180118876259
11,200.00370562547545
12,200.0183548489292
13,200.0189562870511
14,200.1111561600345
15,200.03683993544087
16,200.04934040159995
17,200.08820729466416
18,200.0789041529121
19,200.10012716999148
