,fitness
0,473.2808227472244
1,474.6069798554207
2,471.3623861055643
3,475.79399502157753
4,470.3678881730384
5,475.85481377964885
6,474.01381367180994
7,473.883101292251
8,475.5340317629536
9,470.5010868428968
0,300.0000000633489
1,300.00000000384455
2,300.00000000000455
3,300.00000000003297
4,300.00000000790345
5,300.0000000026148
6,300.0000000085871
7,300.0000000201184
8,300.00000007755267
9,300.0000000046438
10,200.1180118876259
11,200.00370562547545
12,200.0183548489292
13,200.0189562870511
14,200.1111561600345
15,200.03683993544087
16,200.04934040159995
17,200.08820729466416
18,200.0789041529121
19,200.10012716999148
