,ParticleSwarmOptimization,CuckooSearch,GreyWolfOptimizer,FruitFly,KrillHerd,WhaleOptimizationAlgorithm,WaterWaveOptimization
0,24.421585657960087,14.82715416089215,18.6715503521767,26.95514624644378,24.520558453649542,23.31340395757053,23.425660807136666
1,24.52192819943451,19.36722791265803,24.27067732469773,28.213782389004304,26.586099481529004,21.26033877080736,24.1364612933637
2,25.654515006077045,16.154051226538357,24.02312177843069,26.965220047744115,23.934115907844248,24.4205645343968,23.714163442577064
3,22.966617572646,13.62607879732386,19.87839084612219,26.983617719118357,25.856298377709564,22.745512999229213,23.58866574683428
4,24.653865288389497,18.47240746340619,24.594769131516667,29.211535805464948,25.27180544246768,25.149065025080294,21.834286705289788
5,24.15481756228245,15.92556055893045,18.14726803545704,24.896892424035396,24.695969465735143,13.661357971452452,21.50622810220905
6,24.351269563551085,18.408617454241543,24.38564502627573,28.44095130244563,26.71297939948335,25.2525417986934,22.92971462284778
7,24.358097173029567,19.502411357540257,11.793597074019551,27.323489981533985,24.63776033743231,22.070702846017024,27.7453409400769
8,24.37021298580235,18.948125598284424,24.149247247787248,29.056080399853904,25.31326463670669,22.819824508760043,24.599052560385463
9,23.16158716357693,18.41791126089628,21.75082614142098,24.928386479304898,28.36989957864097,25.060723809044525,23.87844437508141
