,ParticleSwarmOptimization,WhaleOptimizationAlgorithm,CuckooSearch,GreyWolfOptimizer,FruitFly,KrillHerd,WaterWaveOptimization
0,-0.9998939925502054,-0.9999949602364328,-0.9929991004029494,-0.9999966994433804,-2.251835272492109e-06,-0.0,-0.9994424637219926
1,-0.9991613032290934,-0.999998371611832,-0.9997946298774946,-0.9999999336851668,-2.297993974753356e-07,-3.6155203652399055e-112,-0.9739070972917316
2,-0.9996620738693008,-0.999999550123112,-0.999826085171166,-0.999999272952326,-4.58185956634861e-07,-0.8701067831037745,-0.6409448538142293
3,-0.9991896334911802,-0.0,-0.999997919960684,-0.9999986656392604,-2.811082223085507e-07,-0.0257155869445704,-0.9671739228593303
4,-0.9980125877679284,-0.9999999545686464,-0.99999442901546,-0.9999981556595124,-2.1357892154805442e-07,-6.233596281289192e-47,-0.989815629207932
5,-0.9988280956001846,-0.9999998839104268,-0.9999957771886764,-0.9999998468093004,-2.7560488219707765e-07,0.0,-0.9999998688667064
6,-0.9968257237937932,-0.9999998732094992,-0.9996715660268513,-0.9999992485071796,-4.271654769875209e-07,-0.2267144602319778,-0.9993579291716332
7,-0.998707168009636,-0.9999992728988554,-0.9999902022082288,-0.9999996423319304,-4.323152164868644e-07,0.0,-0.9999864218916252
8,-0.998636368309126,-0.9999981297484992,-0.9999890601371452,-0.9999985030218772,-4.7573998298225094e-07,-0.5945730546806866,-0.9518829661941512
9,-0.9980603855652171,-0.9999997634216142,-0.9996045580188692,-0.9999994884371112,-6.18565467894936e-07,-0.0,-0.9671019016036166
