,ParticleSwarmOptimization,WhaleOptimizationAlgorithm,CuckooSearch,GreyWolfOptimizer,FruitFly,KrillHerd,WaterWaveOptimization
0,9.05482129777481,9.398829578314037e-05,0.0121408263169408,5.560114807073723e-05,0.6835005812900511,0.077503640933339,0.0002293924515021
1,0.0190197660970186,5.7455601621783835e-09,0.0268287396803331,7.550654142884741e-06,0.6920972750287148,0.0234285517209448,2.0284844989719828e-05
2,0.0050430128805412,8.367180827763106e-05,2.433058088824862e-05,5.79247875240641e-05,0.6744427689644418,0.0285712220091291,0.0022337490102762
3,0.0162773027636891,3.1376856751396585e-07,0.0010998118638448,0.886279439968287,0.6929453835417269,0.0028304831263068,0.0033153484877988
4,0.011687262230824,8.010047570193343e-07,5.40786951832551e-07,0.0170838329045634,0.6694230109551892,0.007806746263333,0.0088799126170801
5,0.005794964294961,1.0203962709399197e-06,2.990616174054762e-05,1.495914659543208e-07,0.6419893483994022,0.0053125108596511,0.0018027311283634
6,0.0151069250274488,1.609104182672038e-08,8.896548834847718e-09,1.1557491968432992e-06,0.602757464229092,0.0100876502326362,0.0004354778118233
7,0.0002951803622474,1.2374355620225176e-08,1.396628840917626e-09,0.000219957516102,0.6488909686823351,0.0626037138422944,0.0001209794560486
8,0.0023561210230261,2.0697532459316196e-05,0.0038866741384794,6.311919199739295e-07,0.6863270631520527,0.0387075546999389,9.29982179866934e-05
9,0.0183705809426827,2.258452608813103e-05,2.0397880667278428e-06,3.418432319778425e-06,0.732409736538757,0.0167242052192261,0.0004292071137824
